,question,answer
29,"Здравствуйте, как оформить дарственную на комнату в общежитии своей бабушке? Какие нужны документы? Сколько будет стоить оформление документов и госпошлина? Комната приватизирована. И ещё один момент. В этой комнате прописана моя мама. В свое время она отказалась от приватизации в мою сторону. После оформления дарственной она останется прописанной в этой комнате? И нужно ли потом моей бабушке платить налог и оформлять право собственности на себя?",Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
30,"Как понять статус дела ""завершено,выдача не предусмотрена""?",Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
31,Добрый день.  Проверила по регистрационному номеру и прочитала следующее:  Статус по заявлению: Окончательный результат. Результат оказания услуги выдается в органе власти в срок указанный на расписке в получении документов. Как это понять? Спасибо,Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
32,"Здравствуйте я подавала заявление на выплату второй части капитала на строительство 18 января через мфц, скажите а в течении какого времени можно узнать результат?",Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
33,"Здравствуйте, подскажите пожалуйста, где можно оформить справку о родстве? ",Здравствуйте! МФЦ данной информацией не располагает. Рекомендуем Вам обратиться отделение ЗАГС по месту Вашего фактического нахождения. 
34,"Здравствуйте! 
Можно узнать статус дел:
MFC-0474/2022-8652-1
MFC-0474/2022-8644-1
Самостоятельно без кода узнать не получается. 
Заранее благодарю!","Здравствуйте! По Вашим делам результат готов.  За выдачей документов можете обратиться в отделение МФЦ, в котором подавали документы. "
35,"Cm как узнать номер дела на сдачу документов купли продажи квартиры. В правом и внизу указал в расписке такой же номер, но он не является номером дела, так сказала регистратор. Да и мы вводили на сайте Росреестр. Ру - указывает не тот номер. А где взять номер дела других номеров нет","О статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. "
36,Что означает статус возврат документов?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
37,Можно оформить куплу продажа автомобиля через мнфц и подать на поставку на учёт и сколько это будет стоить? ,Здравствуйте! В МФЦ данная услуга не предоставляется
38,Что означает статус:исполнено?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
39,Здравствуйте! Подскажите как понять передано на выдачу в огв?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
40,"Здравствуйте. Не могу понять где тут код дела MFC-0474/2022-10616-1 для тогда что бы узнать статус дела.
","Здравствуйте! Статус Вашего дела – «Обработка завершена». За получением результата оказания услуги Вам необходимо обратиться в отделение МФЦ. 
Дополнительно сообщаем, по услугам Управления Росреестра по Амурской области статус заявления на сайте МФЦ Амурской области отследить невозможно. О статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.
"
41,"Не могу найти код дела в описи есть только номер
спасибо","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
42,"Правда ,что есть выплаты населению и какие везде идёт реклама, подскажите пожалуйста",Здравствуйте! МФЦ данной информацией не располагает.
43,"Добрый день, прошу уточнить статус дел. 
MFC-0474/2022-8404-2
MFC-0474/2022-8405-2
  На сайте сам не смог отследить, так как требует код, которого я не знаю. Спасибо ",Здравствуйте! Статус Ваших дел – «Обработка завершена». За получением результата оказания услуги Вам необходимо обратиться в отделение МФЦ.
44,Мфц не дали номер дела как ужнать,Здравствуйте! В МФЦ данная услуга не предоставляется. Рекомендуем Вам обратиться в территориальное подразделение УФМС России Амурской области.
45,Здравствуйте! Мне необходимо вписать своего ребёнка в паспорт. Какие документы для этого нужно иметь по обращении в МФЦ? ,Здравствуйте! В МФЦ данная услуга не предоставляется. Рекомендуем Вам обратиться в территориальное подразделение УФМС России Амурской области.
46,"Мне необходимо узнать место регистрации (прописку)отца моих детей Суворова Александра Степановича (25.10.1947 г.), умершего 20.12.2021 года для того, чтобы определить нотариуса, который будет заниматься наследственным делом и послать этому нотариусу документы о том, что есть наследники ( родные дочери), проживающие в г. Белгород",Здравствуйте! В МФЦ данная услуга не предоставляется.
47,"Здравствуйте! Подскажите пожалуйста, есть квартира у которой имеется четыре собственника,  нам нужно выделить доли по 1/4 каждому собственнику. Затем две доли хотим подарить двум детям. Могу ли я и ещё один собственник сразу эти две доли оформить на детей ?  ",Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
48,"Добрый вечер, что значит обращение исполнено?","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
49,Что значит дата предоставления услуги,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
50,как получить электронную подпись для регистрации организации на портале госуслуги?,"Здравствуйте! В отделениях ГАУ ""МФЦ Амурской области"" данная услуга не предоставляется. Получить консультацию по данному вопросу Вы можете по телефону горячей линии Портала Госуслуг: 8 800 100 70 10."
51,Добрый день. Можно ли через МФЦ подать документы на получение Шенгенской визы? Спасибо.,"Здравствуйте. В отделениях ГАУ ""МФЦ Амурской области"" данная услуга не предоставляется."
52,"Здравствуйте! Необходимо продлить действие загранпаспорта ребёнку. Время, которое указано-в течение месяца-для нас долго, если ли такая услуга «срочный загранпаспорт»? ","Здравствуйте! В Отделениях ГАУ ""МФЦ Амурской области"" отсутствует услуга по сокращению срока предоставления государственной услуги. Сроки указываются в соответствии с Административным регламентом предоставления услуги."
53,"Добрый день, хотелось бы узнать: будете ли вы вновь принимать заявления для оформления детских пособий? Если да, то с какого числа? 

","Здравствуйте! В отделениях ГАУ ""МФЦ Амурской области"" прием документов приостановлен по детским пособиям:
- Назначение и выплата ежемесячной выплаты в связи с рождением (усыновлением) первого ребенка;
- Назначение пособия на ребенка из малообеспеченной семьи;
- Предоставление ежемесячной денежной выплаты отдельным категориям семей в случае рождения (усыновления) третьего или последующих детей до достижения ребенком возраста 3 лет;
- Предоставление единовременной денежной выплаты при рождении первого ребенка;
- Назначение социальной поддержки, предоставление ежемесячной денежной выплаты беременным женщинам;
- Назначение социальной поддержки, предоставление ежемесячной денежной выплаты кормящим матерям;
- Назначение социальной поддержки и выплата ежемесячной денежной выплаты на детей первых трех лет жизни.

Прием заявлений и документов по вышеуказанным пособиям будет возобновлен после подписания дополнительного соглашения с Управлением социальной защиты населения, точная дата пока неизвестна. 
С заявлением о предоставлении пособий Вы можете обратиться в Управление социальной защиты населения Амурской области по месту Вашего фактического нахождения
"
54,здравствуйте. Я родился в Амурской обл. село Раздольное Тамбовского р-на. в данный момент живу в г. Норильске Красноярского края. мне нужна информация о подтверждении гражданства в мфц г. Норильска. адрес ул Нансена 69. по возможности можно и мне на Эл. почту,"ГАУ ""МФЦ Амурской области"" не располагает данной информацией. "
55,"Здравствуйте.Возжожно ли сдать на государственную регистрацию  в МФЦ  г.Сковородино Амурской области осоглашение о передаче прав и обязанностей по договору аренды земельного участка, расположенного по адрсу: Приморский край, г.Владивосток, ул.Надибаидзе,12, если одна из строн соглашения зарегистрирована в г.Сковородино, а вторая сторона зарегистрирована в г.Владивостоке.

","Здравствуйте. Заявление и документы по государственной услуге ""Государственный кадастровый учет недвижимого имущества и (или) государственная регистрация прав на недвижимое имущество"" можно подать в любом отделении ГАУ ""МФЦ Амурской области"", независимо от места расположения объекта недвижимости и адреса регистрации сторон сделки. Дополнительную информацию можно получить по телефону горячей линии Росреестра: 8 800 100 34 34 (звонок по России бесплатный) или по телефону регионального колл-центра МФЦ: 8 (4162) 99 22 22 (оплата в соответствии с Вашим тарифным планом)."
56,"Здравствуйте. Что значит в статусе заявления.:
Передано на выдачу в ОГВ.
Номер дела  №01308648 ","Здравствуйте! Указанный регистрационный номер отсутствует в информационной системе МФЦ. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
57,"Как перевести государственный участок в собственность, который находится у меня в аренде по договору уже пять лет, на участке возведен дом, оформленный уже в собственность (три года), куда подавать заявление в г.Благовещенске, какие документы необходимо собрать?","Здравствуйте! С заявлением Вы можете обратиться в отделение ГАУ «МФЦ Амурской области» в городе Благовещенск. 
Необходимые документы для предоставления: 
    Документ, удостоверяющий личность
    Документ, удостоверяющий право собственности на жилой дом (предоставляется в случае, если право не зарегистрировано в ЕГРП)
    Договор аренды на земельный участок (при наличии).
"
58, Как записать сына (14 лет) на получение паспорта впервые.  14 лет исполняется  31 января. Можно на любую среду на  19 часов.  ,"Здравствуйте! Предварительная запись осуществляется через:
- сервис «Предварительная запись» на официальном сайте (https://mfc-amur.ru/appointment/), 
- мобильное приложение «Мои Документы Онлайн»;
- по телефону регионального колл-центра МФЦ (8 4162 99 22 22) с помощью виртуального помощника «Вера».
Дополнительно сообщаем, что в отделение МФЦ Вы можете обратиться без предварительной записи, взяв талон в текущую электронную очередь."
59,"Я поменяла фамилия так как вышла замуж. Пришла поменять снилс  мне выдали бумагу , нужно ли мне с ней идти в Пинсионный фонд или в Мфц уже выдают подтвержденный снилс ?","Здравствуйте! Если Вы обращались в отделение МФЦ с заявлением по замене СНИЛС, то за готовым документом Вам необходимо обращаться в МФЦ. Если же заявление подавалось в Пенсионный Фонд напрямую, то обращаться необходимо в Пенсионный Фонд."
60,Как посмотреть очередь в детский сад?,"Здравствуйте! Информацию о статусе рассмотрения заявления Вы можете получить на портале образовательных услуг Амурской области https://portal.obramur.ru/ в разделе ""Поиск заявлений"" по реквизитам документа, удостоверяющего личность ребенка (свидетельство о рождении) либо в Управлении образования по месту Вашего фактического нахождения."
61,"Здравствуйте, подскажите пожалуйста, родила 2-го ребенка, интересует какие выплаты положены? И какой пакет документов нужен ?",Здравствуйте! Рекомендуем Вам обратиться за консультацией по положенным Вам выплатам в Управление социальной защиты населения по месту Вашего фактического нахождения
62,"Здравствуйте. Подавалась на карту побыта ещё в 2019 году , и сразу сдавала отпечатки. Номера дела нету ни на одних документах, теперь не знаю как приостановить дело без номера дела ?.","Здравствуйте! По Вашему вопросу необходима дополнительная информация. Просим Вас обратиться по телефону регионального call-центра МФЦ: 8 (4162) 99 22 22 или оставить свои контактные данные, чтобы мы могли с Вами связаться на официальном сайте МФЦ Амурской области в разделе «Обратная связь» (https://mfc-amur.ru/about/feedback/)."
63,Как подтвердить аккаунт в госуслугах,"Здравствуйте! Подтвердить учетную запись на портале Госуслуг Вы можете одним из способов:

• онлайн через интернет-банки Сбербанк Онлайн веб-версии и Тинькофф, а также интернет- и мобильный банк Почта Банк Онлайн (при условии, что вы являетесь клиентом одного из банков);
• лично, обратившись в отделение МФЦ
• почтой, заказав получение кода подтверждения личности Почтой России из профиля;
• воспользоваться Усиленной квалифицированной электронной подписью или Универсальной электронной картой (УЭК)."
