Дата обращения;Вопрос;Ответ;Ссылка
20.09.2021;Могу ли я у вас. Заказать справку о не судимости. Записана на приём 24.09;"Здравствуйте! Во всех отделениях ГАУ «МФЦ Амурской области» предоставляется государственная услуга «Выдача справок о наличии (отсутствии) судимости и (или) факта уголовного преследования либо о прекращении уголовного преследования». Для получения услуги при себе необходимо иметь документ, удостоверяющий личность (паспорт гражданина Российской Федерации). Срок предоставления государственной услуги – 30 дней. Услуга предоставляется бесплатно.
Обращаем Ваше внимание, что услугу можно получить в электронном виде через Портал Госуслуг (https://www.gosuslugi.ru/16587/1). 
";https://mfc-amur.ru/faq/680473/
20.09.2021;Здравствуйте. Как проверить очередь в детский сад?;"Здравствуйте! Информацию о статусе рассмотрения заявления Вы можете получить на портале образовательных услуг Амурской области https://portal.obramur.ru/ в разделе ""Поиск заявлений"" по реквизитам документа, удостоверяющего личность ребенка (свидетельство о рождении) либо в Управлении образования по месту Вашего фактического нахождения.";https://mfc-amur.ru/faq/680469/
16.09.2021;"На росписей отсутствует код дела. Есть регистрационный номер MFC-0685/2021-92427-1 от 14.09.2021 и штрих код. 
 Как можно получить информацию о готовности выписки?";Здравствуйте! Указанный регистрационный номер отсутствует в информационной системе МФЦ Амурской области.;https://mfc-amur.ru/faq/679883/
15.09.2021;В настоящее время проживаю в Псковской области. Хочу переехать в г. Зею Амурской области к родственникам. 67 лет. пенсионерка. Как изменится размер пенсии в связи с переездом?;Здравствуйте! МФЦ не располагает данной информацией. Рекомендуем Вам обратиться в контакт-центр Пенсионного фонда РФ по Амурской области 8 (4162) 202-400.;https://mfc-amur.ru/faq/679870/
15.09.2021;Добрый день. Можно узнать причину отказа как малоимущая ;Здравствуйте! МФЦ не располагает данной информацией. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/679866/
15.09.2021;Здравствуйте, подскажите пожалуйста! Какие нужны документы для прописки ребёнка до 14 лет, если я прописываю ребёнка у своих родителей, владельцу квартиры нужно приходить со мной к вам или можно просто от него заявление;Здравствуйте! По Вашему вопросу необходима дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22.;https://mfc-amur.ru/faq/679851/
14.09.2021;Здравствуйте, что значит статус дела в архиве? Номер 63212163702258545 пин 7738.;Здравствуйте! Указанный регистрационный номер отсутствует в информационной системе МФЦ. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679845/
14.09.2021;Здравствуйте. Скажите, пожалуйста, продали заявление на путинские выплаты N 2021/01.1-36304 Статус: Дело закрыто. У дела нет выдачи. Что это обозначает? Мы получим выплаты? ;Здравствуйте! Указанный регистрационный номер отсутствует в информационной системе МФЦ. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679843/
14.09.2021;ЧТО ЗНАЧИТ ЗАЯВЛЕНИЕ НЕ ВОСТРЕБАВАННО? ПОДАВАЛИ ЧЕРЕЗ МФЦ В АПРЕЛЕ МЕСЯЦЕ И ТОЛЬКО ОТВЕТ 7 СЕНТЯБРЯ И НЕ ВОСТРЕБАВАННО ;Здравствуйте! Просим Вас уточнить номер дела или описи, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679841/
14.09.2021;Добрый день! Какие необходимы документы для регистрации договора купли-продажи гаража с земельным участком? И заявление о регистрации недвижимого имущества можно заполнить у вас?;"Здравствуйте! Примерный перечень документов для государственной регистрации права на основании договора купли – продажи объекта недвижимости необходимо:
1. Присутствие двух сторон (Продавец, Покупатель);
2. Документ, удостоверяющий личность заявителей;
3. Договор об отчуждении объекта недвижимости в 2-х экземпляров;
4. Нотариально удостоверенное согласие другого супруга на отчуждение объекта недвижимости.

Госпошлина за переход права будет составлять – 2 350 руб. (2 000 руб. - объект и 350 руб. - земля). Оплатить госпошлину Вы можете в отделении МФЦ с помощью банковской карты по POS-терминалу в момент приема пакета документов.

Дополнительно сообщаем, в случае необходимости специалист МФЦ может оказать платную услугу по составлению договора купли-продажи. Для составления договора необходимы следующие документы:
1.    Документ, удостоверяющий личность заявителей;
2.    Правоустанавливающие документы на объект недвижимости и на земельный участок. В случае, если земельный участок находится в аренде, необходимо предоставить договор аренды.

Заявление заполняется специалистом МФЦ во время приема.
";https://mfc-amur.ru/faq/679833/
14.09.2021;Можно мне серфитикат на прививку. На электронную почту ;Здравствуйте! В МФЦ не предоставляется данная услуга.;https://mfc-amur.ru/faq/679825/
09.09.2021;"Здравствуйте, Рег. № дела 03789385 дата выдачи 08.09.21
Статус дела - ""передано в ОГВ на исполнение"" что это обозачает и когда выдача документов,
заранее спасибо";Здравствуйте! Указанный регистрационный номер отсутствует в информационной системе МФЦ. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679776/
09.09.2021;"Что означает :""Передано на выдачу в ОГВ""?";Здравствуйте! Просим Вас уточнить номер дела или описи, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679775/
09.09.2021;как получить копию технического паспорта, плана БТИ  с экспликацией помещений, поэтажный план квартиры по адресу Амурская обл., с.Среднебелое-2, ул.Ленина, д.14 кв.46 для представления в страховую компанию?;Здравствуйте! по Вашему вопросу необходима дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22 или по телефону горячей линии Росреестра: 8 (800) 100-34-34.;https://mfc-amur.ru/faq/679774/
08.09.2021;"что значит: ""результат в мфц""?";: Здравствуйте! Просим Вас уточнить номер дела или описи, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679773/
08.09.2021;Подскажите как продлить пособие на ребенка я мать одиночка ребенок рождён 03.02 2020;"Здравствуйте! Для получения полной консультации какие необходимы документы для продления пособия, рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.
Дополнительно сообщаем о том, что на детские пособия Вы также можете подать через региональный портал государственных и муниципальных услуг Амурской области (https://gu.amurobl.ru/pgu/services/info.htm?id=11466@egService). 
";https://mfc-amur.ru/faq/679772/
08.09.2021;Здравствуйте что означает передано на выдачу в ОГВ;Здравствуйте! Просим Вас уточнить номер дела или описи, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679771/
07.09.2021;добрый вечер детские в пршлом мсяце приходили 6 числа..в этом  6 ничего не пришло.. даты могут быть разные? ;Здравствуйте! МФЦ не располагает данной информацией. Рекомендуем обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/679769/
06.09.2021;Что значит результат проверки статуса в архиве ;Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679752/
06.09.2021;Здравствуйте. Дата моего рождения 1966г.есть ли льготы как предпенсионеру ?;Здравствуйте! Для получения полной консультации какие Вам положены льготы рекомендуем обратиться в Управление социальной защиты населения: 8 (4162) 225-850 или в территориальное подразделение Пенсионного фонда РФ: 8 (4162) 202-400, по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/679751/
06.09.2021;Если дом куплен за мат капитал можно в нем за прописать временно человека  дом куплен в деревне ;Здравствуйте! по Вашему вопросу необходима дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22.;https://mfc-amur.ru/faq/679749/
06.09.2021;Здравствуйте. Как изменить фамилию ребёнка ;Здравствуйте! Рекомендуем Вам обратиться в территориальное отделение ЗАГС по месту Вашего фактического нахождения с заявлением.;https://mfc-amur.ru/faq/679748/
06.09.2021;Подала документы на продление пособия до 3 лет на первого ребёнка, статус стоит готов в органе власти, что это значит? Мне в мфц идти не надо же, деньги на карту придут? Это значит одобрили? ;Здравствуйте! В МФЦ результат не возвращается. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения;https://mfc-amur.ru/faq/679747/
04.09.2021; Оформила пособия на ребёнка в статусе дела написанно следующиюее:Окончательный результат. Результат оказания услуги выдается в органе власти в срок указанный на расписке в получении документов, что это значит ;Здравствуйте! В МФЦ результат не возвращается. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения;https://mfc-amur.ru/faq/679746/
03.09.2021;Здравствуйте подскажите пожалуйста я покупаю дом за материнский капитал у хазяев дома есть документы на дом и на землю но есть один нюанс документы есть на землю а диска нет диск будит делаюца в течение месяца в мфц отказываюца принимать документы без диска. Можем ли мы подать документы без диска? ;Здравствуйте! по Вашему вопросу необходима дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22 или по телефону горячей линии Росреестра: 8 (800) 100-34-34;https://mfc-amur.ru/faq/679745/
03.09.2021;Готовы мои документы о регистрации по месту жительства иностранного гражданина. Расписка о приеме документов №2/3/183441 выдана 30.08.2020;Здравствуйте! Ваши документы готовы.;https://mfc-amur.ru/faq/679744/
02.09.2021;Здравствуйте, исполнилось 20 лет, просрочен паспорт, куда обращаться, и сколько будет штраф?;"Здравствуйте! Вы можете обратиться в МФЦ с заявлением о выдаче (замене) паспорта в течение 90 дней со следующего дня после достижения 20-летнего возраста. В случае, если паспорт просрочен на более чем 90 дней, Вам необходимо обратиться в отдел по вопросам миграции МВД России по Амурской области. Информацией о размерах штрафа МФЦ не располагает.
Для замены паспорта в связи с достижением 20-лет необходимы следующие документ:
- Паспорт;
- Фотографии - 2 шт.;
- Документы для проставления отметок (Свидетельство о регистрации (расторжения) брака; Свидетельство о рождении детей, не достигших 14-летнего возраста) не обязательны для предоставления.

Срок предоставления услуги будет составлять 10 календарных дней в случае обращения по месту жительства (прописка), 30 календарных дней, если Вы обращаетесь не по месту жительства.

ГОСПОШЛИНА за выдачу (замену) паспорта РФ – 300 рублей. Оплатить госпошлину Вы можете в отделении МФЦ с помощью банковской карты по POS-терминалу в момент приема пакета документов. 
";https://mfc-amur.ru/faq/679722/
02.09.2021;Мне ответят на мой вопрос почему нет никакой выплаты если не ставят на инвалидность и не могу работать по состоянию здоровья;Здравствуйте! Для получения консультации о выплатах, которые Вам положены, рекомендуем обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения или, позвонив по телефону: 8 (4162) 225-800;https://mfc-amur.ru/faq/679718/
02.09.2021;Меня не ставят на инвалидность по состоянию здоровья и работать я не могу какую выплату можно получить ;Здравствуйте! Для получения консультации о выплатах, которые Вам положены, рекомендуем обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения или, позвонив по телефону: 8 (4162) 225-800;https://mfc-amur.ru/faq/679717/
02.09.2021;Паспорт готов?;Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679700/
01.09.2021;Могу ли я как-нибудь способом узнать результаты по заявлению? Забрать их в МФЦ нет возможности.;Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/679698/
30.08.2021;Здравствуйте, возможно ли у вас составить доверенность на лицо которое будет продавать квартиру.;Здравствуйте! В МФЦ данная услуга не предоставляется. Рекомендуем обратиться к нотариусу.;https://mfc-amur.ru/faq/679181/
30.08.2021;Здравствуйте, подала документы на выплаты по поводу рождения первого ребенка, 15 июля мне так и не пришёл ответ ,что делать как узнать одобрили или нет?;Здравствуйте! В МФЦ результат не возвращается. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/679174/
29.08.2021;По какой причине и обстоятельствам, по нашему заявлению на оплату обучения материнским капиталом, выдается мотивированный отказ? Хотелось бы узнать почему? Регистрационный номер 13082021-23886535-23-05;Здравствуйте! МФЦ не является органом, предоставляющим услугу, о причинах принятого решения Вы можете уточнить в территориальном подразделении Пенсионного Фонда РФ по месту Вашего фактического нахождения, позвонив по телефону горячей линии: 8 (4162)202-400.;https://mfc-amur.ru/faq/679173/
29.08.2021;"Здравствуйте.
Мне необходимо получить справку с мест проживания о регистрации с июля 1991 года по дату регистрации по настоящему месту жительства из г. БЕЛОГОРСК Амурской области. Подскажите, пожалуйста, в какое ведомство за ней обратиться по почте или в электронном виде, так как лично приехать нет возможности";Здравствуйте! МФЦ не располагает данной информацией.;https://mfc-amur.ru/faq/679167/
27.08.2021;Здравствуйте! Имею ли я право на получение выплаты,в связи с подтоплением в размере 10000 тысяч рублей? Если я прописана,имею собственность и участок земли в районе подтопления? Но проживаю в другом месте. На момент подтопления,не могла приехать,обработать участок(огород) из-за размыва дорожного полотна.;Здравствуйте! По Вашему вопросу необходима дополнительная информация. Просим Вас обратиться по телефону горячей линии: 8 914 444 59 04.;https://mfc-amur.ru/faq/678669/
27.08.2021;"Что значит результат проверки статуса:
В архиве?";Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг или личный кабинет на сайте Росреестра, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу;https://mfc-amur.ru/faq/678663/
27.08.2021;В описи указан только номер дела. Надписи Ваш код доступа в описи нет. При этих обстоятельствах, каким образом мне проверить статус моего дела???;Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через личный кабинет на сайте Росреестра, а также по вопросам работы сайта Росреестра (https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_check_request_status) Вы можете обратиться по телефону горячей линии Росреестра: 8 (800) 100-34-34.;https://mfc-amur.ru/faq/678661/
27.08.2021;"Статус 
МОТИВИРОВАННО ОТКАЗАНО
Окончательный результат оказания услуги. Результат оказания услуги готов к выдаче заявителю с мотивированным отказом.";Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/678648/
25.08.2021;"Добрый день. 40я-я неделя беременности, ехать и узнавать очень тяжело, не смогу стоять в очередях. Подскажите, готов ли ответ, если стоит такой статус: Заявка 16072021-22104144-23-1812
Министерство труда и социального развития Краснодарского края11.107 Рассмотрение заявления о распоряжении средствами (частью средств) материнского (семейного) капитала

Статус 
Выдача в органе власти

Окончательный результат. Результат оказания услуги выдается в органе власти в срок указанный на расписке в получении документов
";Здравствуйте! Указанный Вами номер дела в программном комплексе МФЦ Амурской области отсутствует. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения по Краснодарскому краю.;https://mfc-amur.ru/faq/678616/
25.08.2021;Здравствуйте. В описи документов, принятых для оформления регистрации права собственности, не указан код для проверки статуса дела. Номер MFC-0371-2021-137251-2;Здравствуйте! Указанный Вами номер дела в программном комплексе МФЦ Амурской области отсутствует. Для уточнения статуса выполнения дела рекомендуем обратиться в отделение МФЦ, в котором были поданы документы. В случае, если документы подавались Вами через личный кабинет на сайте Росреестра, а также по вопросам работы сайта Росреестра (https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_check_request_status) Вы можете обратиться по телефону горячей линии Росреестра: 8 (800) 100-34-34.;https://mfc-amur.ru/faq/678602/
25.08.2021;Расписка 03734742 код 2826 сдал 14августа Уже прошло 10дней Должно получить 20августа Мы глухие Жду ответа ;Здравствуйте! Указанный Вами номер дела в программном комплексе МФЦ Амурской области отсутствует. Для уточнения статуса выполнения дела рекомендуем обратиться в отделение МФЦ, в котором были поданы документы. В случае, если документы подавались Вами через личный кабинет на сайте портала государственных услуг, Вы можете обратиться в ведомство оказывающую данную услугу.;https://mfc-amur.ru/faq/678601/
24.08.2021;Заказывали выписку из егрн что  значит статус перенаправлено на рассмотрение и выдачу в огв;Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг или личный кабинет на сайте Росреестра, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу;https://mfc-amur.ru/faq/678580/
24.08.2021;Здравствуйте, я подавала заявление на ежемесячную выплату в связи рождением на первого ребенка. В статусе заявление указано дело закрыто. Как понимать с положительным результатом или с отрицательным?;"Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения .

";https://mfc-amur.ru/faq/678571/
22.08.2021;"Здравствуйте подавала заявление через МФЦ на пособие на детей до 16лет.  Статус значится"" отправлено на выдачу"" что это значит?";: Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения .;https://mfc-amur.ru/faq/678530/
18.08.2021;"Почему не на одном портале не работает проверка статуса дела он лайн? пример номер дела MFC-0303/2021-43888-1.  Так же пробую и другие номера и всегда пишет - не найдено. Я пробовал и готовые к выдаче документы, и еще не готовые. Пробовал указывать номер без даты, результат всегда ""не найдено""";Здравствуйте! Указанный Вами номер дела в программном комплексе МФЦ Амурской области отсутствует. Для уточнения статуса выполнения дела рекомендуем обратиться в отделение МФЦ, в котором были поданы документы. В случае, если документы подавались Вами через личный кабинет на сайте Росреестра, а также по вопросам работы сайта Росреестра (https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_check_request_status) Вы можете обратиться по телефону горячей линии Росреестра: 8 (800) 100-34-34.;https://mfc-amur.ru/faq/678344/
18.08.2021;Могу я получить через МФЦ электронную цифровую подпись для подтверждения сделок, электронного кадрового документооборота и т.п. ? ;Здравствуйте! В МФЦ данная услуга не предоставляется. Рекомендуем обратиться в Управление Федерального казначейства по Амурской области (https://roskazna.gov.ru/gis/udostoveryayushhij-centr/).;https://mfc-amur.ru/faq/678343/
